work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size
2021,EN,Data Science Consultant,64369,50,DE,L
2020,SE,Data Scientist,68428,100,US,L
2021,EX,Head of Data Science,85000,0,RU,M
2021,EX,Head of Data,230000,50,RU,L
2021,EN,Machine Learning Engineer,125000,100,US,S
2021,SE,Data Analytics Manager,120000,100,US,M
2020,MI,Research Scientist,450000,0,US,M
2020,MI,Data Analyst,46759,50,FR,L
2020,MI,Data Engineer,74130,50,AT,L
2021,SE,Data Science Engineer,127543,50,CA,L
2021,SE,Manager Data Science,144000,100,US,L
2021,EN,Data Scientist,13400,100,UA,L
2021,MI,Data Scientist,75966,100,CA,L
2021,MI,Data Scientist,150000,100,US,M
2020,MI,Data Science Consultant,103000,100,US,L
2021,SE,Data Engineering Manager,153000,100,US,L
2021,MI,Data Engineer,90000,100,US,L
2021,EN,Data Analyst,90000,100,US,S
2021,EN,Data Analyst,60000,100,US,S
2021,MI,Data Scientist,50000,100,NG,L
2021,EN,AI Scientist,12000,100,US,M
2021,MI,3D Computer Vision Researcher,5423,50,IN,M
2021,MI,ML Engineer,270000,100,US,L
2021,MI,Applied Data Scientist,54376,50,CA,L
2021,MI,Machine Learning Engineer,47681,100,ES,S
2021,EX,Director of Data Science,154963,100,PL,L
2021,MI,Data Engineer,28801,100,PL,L
2021,MI,Data Analytics Engineer,110000,100,US,L
2021,EN,Research Scientist,83000,50,GB,L
2020,EN,Machine Learning Engineer,250000,50,US,L
2021,EN,Data Analyst,59601,50,FR,M
2021,SE,Data Analyst,80000,100,US,S
2020,EN,Data Analyst,10000,100,NG,S
2020,EN,Machine Learning Engineer,138000,100,US,S
2021,MI,Data Engineer,140000,100,US,L
2021,SE,Data Analytics Engineer,79866,100,DE,L
2021,SE,Lead Data Analyst,170000,100,US,L
2021,EN,Data Analyst,80000,100,US,M
2020,MI,Data Scientist,45760,100,US,S
2021,MI,BI Data Analyst,100000,100,US,M
2021,SE,Data Scientist,53641,50,FR,L
2021,EX,Head of Data,235000,100,US,L
2021,EX,BI Data Analyst,150000,100,US,L
2020,EX,Data Engineering Manager,79833,50,ES,L
2021,EN,Machine Learning Scientist,225000,100,US,L
2021,EN,Data Science Consultant,77481,100,DE,S
2020,MI,Machine Learning Infrastructure Engineer,50180,0,PT,M
2021,SE,Marketing Data Analyst,89402,100,DK,L
2021,SE,Lead Data Engineer,103750,100,GB,S
2021,SE,Director of Data Engineering,114125,100,GB,M
2021,SE,Machine Learning Engineer,95362,50,DE,L
2021,EN,Data Engineer,30509,100,IN,L
2021,SE,Data Engineer,150000,100,US,M
2021,SE,Data Engineer,115000,100,US,S
2021,MI,Research Scientist,187917,100,CA,L
2021,MI,Data Analyst,51814,50,GB,L
2020,MI,Data Engineer,106000,100,US,L
2020,MI,Data Engineer,112872,50,GB,L
2021,MI,BI Data Analyst,36732,50,US,L
2021,SE,Data Engineer,150000,100,US,L
2020,EN,ML Engineer,15966,100,DE,S
2021,MI,Computer Vision Software Engineer,96554,100,US,S
2021,EN,Computer Vision Software Engineer,70000,100,US,M
2021,MI,Financial Data Analyst,450000,100,US,L
2020,MI,Data Scientist,76958,100,GB,S
2021,MI,Cloud Data Engineer,89514,50,SG,L
2021,EN,Data Scientist,29831,50,IN,L
2021,SE,Lead Data Engineer,276000,0,US,L
2020,SE,Data Engineer,188000,100,US,L
2021,SE,Cloud Data Engineer,160000,100,US,S
2020,MI,Data Scientist,105000,100,US,L
2021,MI,Data Engineer,200000,100,US,L
